filename,width,height,class,xmin,ymin,xmax,ymax
Bus_1.jpg,320,320,Bus,110,50,291,208
Bus_10.jpg,320,320,Bus,0,143,69,274
Bus_100.jpg,320,320,Bus,46,77,268,264
Bus_101.jpg,320,320,Bus,0,74,19,222
Bus_101.jpg,320,320,Bus,37,47,265,256
Bus_101.jpg,320,320,Bus,165,88,220,123
Bus_101.jpg,320,320,Bus,224,82,301,216
Bus_102.jpg,320,320,Bus,2,170,26,203
Bus_102.jpg,320,320,Bus,94,76,252,272
Bus_103.jpg,320,320,Bus,81,60,320,272
Bus_104.jpg,320,320,Bus,77,138,160,204
Bus_105.jpg,320,320,Bus,241,218,320,320
Bus_106.jpg,320,320,Bus,0,102,35,302
Bus_106.jpg,320,320,Bus,46,33,270,295
Bus_106.jpg,320,320,Bus,219,101,320,275
Bus_107.jpg,320,320,Bus,60,0,320,180
Bus_108.jpg,320,320,Bus,0,86,124,237
Bus_108.jpg,320,320,Bus,16,0,318,287
Bus_109.jpg,320,320,Bus,111,79,210,232
Bus_11.jpg,320,320,Bus,0,0,320,281
Bus_110.jpg,320,320,Bus,102,103,236,205
Bus_111.jpg,320,320,Bus,56,128,223,233
Bus_111.jpg,320,320,Bus,221,161,267,202
Bus_112.jpg,320,320,Bus,0,12,320,320
Bus_113.jpg,320,320,Bus,89,177,214,256
Bus_114.jpg,320,320,Bus,32,64,269,301
Bus_115.jpg,320,320,Bus,50,32,233,207
Bus_116.jpg,320,320,Bus,0,26,55,247
Bus_116.jpg,320,320,Bus,0,27,153,254
Bus_116.jpg,320,320,Bus,42,22,260,300
Bus_116.jpg,320,320,Bus,218,114,252,147
Bus_116.jpg,320,320,Bus,264,0,320,319
Bus_117.jpg,320,320,Bus,56,88,314,265
Bus_118.jpg,320,320,Bus,0,0,288,319
Bus_119.jpg,320,320,Bus,0,0,224,320
Bus_12.jpg,320,320,Bus,0,112,99,215
Bus_120.jpg,320,320,Bus,11,6,315,307
Bus_120.jpg,320,320,Bus,134,33,320,270
Bus_121.jpg,320,320,Bus,0,75,93,239
Bus_121.jpg,320,320,Bus,55,30,249,276
Bus_122.jpg,320,320,Bus,0,20,320,280
Bus_122.jpg,320,320,Bus,3,59,320,135
Bus_123.jpg,320,320,Bus,25,7,292,319
Bus_124.jpg,320,320,Bus,21,23,298,280
Bus_125.jpg,320,320,Bus,0,0,320,320
Bus_126.jpg,320,320,Bus,120,138,130,172
Bus_126.jpg,320,320,Bus,128,134,139,175
Bus_126.jpg,320,320,Bus,132,118,163,192
Bus_126.jpg,320,320,Bus,152,104,319,209
Bus_126.jpg,320,320,Bus,202,23,320,295
Bus_127.jpg,320,320,Bus,40,144,128,192
Bus_127.jpg,320,320,Bus,124,125,306,232
Bus_128.jpg,320,320,Bus,0,86,104,218
Bus_128.jpg,320,320,Bus,69,40,287,276
Bus_128.jpg,320,320,Bus,281,29,320,280
Bus_129.jpg,320,320,Bus,0,37,116,129
Bus_129.jpg,320,320,Bus,175,34,201,103
Bus_13.jpg,320,320,Bus,10,36,129,126
Bus_130.jpg,320,320,Bus,0,67,27,185
Bus_130.jpg,320,320,Bus,21,73,142,183
Bus_130.jpg,320,320,Bus,39,50,314,278
Bus_131.jpg,320,320,Bus,236,10,283,87
Bus_132.jpg,320,320,Bus,0,56,182,206
Bus_132.jpg,320,320,Bus,12,104,298,252
Bus_132.jpg,320,320,Bus,307,168,320,297
Bus_133.jpg,320,320,Bus,0,0,142,46
Bus_133.jpg,320,320,Bus,29,20,269,304
Bus_133.jpg,320,320,Bus,120,0,219,35
Bus_133.jpg,320,320,Bus,215,0,307,23
Bus_133.jpg,320,320,Bus,245,64,320,250
Bus_133.jpg,320,320,Bus,308,0,320,11
Bus_134.jpg,320,320,Bus,9,165,70,253
Bus_135.jpg,320,320,Bus,0,0,320,320
Bus_136.jpg,320,320,Bus,25,4,260,281
Bus_136.jpg,320,320,Bus,256,137,289,216
Bus_137.jpg,320,320,Bus,0,0,319,317
Bus_138.jpg,320,320,Bus,0,0,320,320
Bus_139.jpg,320,320,Bus,19,19,303,271
Bus_14.jpg,320,320,Bus,88,127,198,201
Bus_14.jpg,320,320,Bus,233,125,320,195
Bus_140.jpg,320,320,Bus,14,40,316,308
Bus_141.jpg,320,320,Bus,56,88,225,232
Bus_142.jpg,320,320,Bus,12,192,130,305
Bus_143.jpg,320,320,Bus,0,157,10,209
Bus_143.jpg,320,320,Bus,0,156,55,271
Bus_143.jpg,320,320,Bus,47,37,293,291
Bus_144.jpg,320,320,Bus,21,3,314,314
Bus_145.jpg,320,320,Bus,11,118,62,177
Bus_145.jpg,320,320,Bus,84,105,216,201
Bus_146.jpg,320,320,Bus,17,42,252,263
Bus_147.jpg,320,320,Bus,0,0,274,320
Bus_147.jpg,320,320,Bus,280,116,320,176
Bus_148.jpg,320,320,Bus,172,81,320,269
Bus_149.jpg,320,320,Bus,46,53,308,248
Bus_15.jpg,320,320,Bus,1,131,68,289
Bus_15.jpg,320,320,Bus,99,124,304,287
Bus_15.jpg,320,320,Bus,184,103,268,132
Bus_150.jpg,320,320,Bus,45,222,215,320
Bus_150.jpg,320,320,Bus,113,159,169,205
Bus_150.jpg,320,320,Bus,172,152,217,187
Bus_151.jpg,320,320,Bus,0,0,320,320
